Dataset,Year
M A C E H K T,2023
M A C D E I Y,2023
M A B I N O T,2023
M A B I L O X,2023
M A B C E I N,2023
L F G I O R Y,2023
L F G I N O W,2023
L E N O U V Y,2023
L E N O P T Y,2023
L E I M N T Y,2023
L E I J N U V,2023
L E G M O T Y,2023
L D I O R W Y,2023
L D E M N P U,2023
L C I O R T V,2023
L C F I M O R,2023
L C E F N O U,2023
L C D G H I O,2023
L B G I N R U,2023
L B F G O R U,2023
L B E I M N T,2023
L A E H I V Y,2023
L A D I N O R,2023
L A D H I O Y,2023
L A D H I N Y,2023
L A D G H I N,2023
L A D F I N W,2023
L A C N O R T,2023
L A C H N T U,2023
K A D E G I N,2023
K A C D E H L,2023
K A B C O T U,2023
K A B C E I L,2023
I L M N O T U,2023
I G H N P U W,2023
I E L P T V X,2023
I D L Q T U Y,2023
I D E N O P W,2023
I D E M N O X,2023
I D E G L O Y,2023
I C F L N O T,2023
I C E N O T X,2023
I C D M N O U,2023
I C D L T U Y,2023
I B D E G O T,2023
I B C E L N V,2023
I A M N O T V,2023
I A L R T U V,2023
I A L M O R T,2023
I A G L N Y Z,2023
I A G H L R T,2023
I A E G L T Y,2023
I A D E M T Y,2023
I A C O P R T,2023
I A C M O R T,2023
I A C L N O Y,2023
I A C H N T Y,2023
I A C H L O T,2023
I A C F L O R,2023
I A C F L N U,2023
I A C E N T Y,2023
I A C E H M T,2023
I A B L T V Y,2023
I A B E L M P,2023
I A B D L R Z,2023
I A B C E L Y,2023
H E I L N O T,2023
H E G I T W Y,2023
H E G I L N T,2023
H C D E L T U,2023
H A G I N P R,2023
H A E G I M T,2023
H A E F L T U,2023
H A D E N T U,2023
H A D E L T Y,2023
H A D E L N P,2023
H A C I R T U,2023
H A B L M O T,2023
H A B I L T U,2023
G I K N O U W,2023
G E I N T U Y,2023
G E I M N T Z,2023
G C H I L N T,2023
G C E H I L N,2023
G B H O R T U,2023
G A E L O T V,2023
G A D N O P R,2023
G A D E N T V,2023
G A D E N T U,2023
G A C I K M N,2023
G A B L N O T,2023
F I M O R T Y,2023
F G I L N O P,2023
F E G I L N U,2023
F D E I N T U,2023
F D E I L O V,2023
F C E G I N T,2023
F B E L O T U,2023
F B D E I N T,2023
F A I L O R W,2023
F A G I K L N,2023
F A E L P T U,2023
F A E I L M N,2023
F A C E P T Y,2023
F A B E I L X,2023
E J M N O T Y,2023
E I M O T V Y,2023
E G I K N O V,2023
E G H M N O Y,2023
E F G I L N O,2023
E C I L M O P,2023
E C H K L M O,2023
E B G M N O Y,2023
E B C I L O T,2023
E B C H I O T,2023
E A I K L T V,2023
E A H N O P Y,2023
E A C L N O W,2023
E A C J K L P,2023
E A C I N T X,2023
E A C H K P Y,2023
E A B C K L P,2023
E A B C K L O,2023
D C I M O T Y,2023
D C E H I K L,2023
D A I L M N O,2023
D A C N O R T,2023
D A C I N O R,2023
D A C G I N R,2023
D A B G I L N,2023
C I K L P R Y,2023
C E F I N T V,2023
C D E L N O W,2023
C D E L M O Y,2023
C D E K L N U,2023
C D E I M O T,2023
C D E F N O U,2023
C D E F I N T,2023
C B D E K L O,2023
C B D E J O T,2023
C B D E I N O,2023
C A O R T U Y,2023
C A I N R T U,2023
C A I N Q T U,2023
C A I L N P T,2023
C A G I N R Y,2023
C A G H I M N,2023
C A E M N P T,2023
C A E L N P T,2023
C A E I P T V,2023
C A E I N P T,2023
C A E H L M Y,2023
C A D I R T Y,2023
C A D E H L N,2023
C A B F I K L,2023
C A B E H M O,2023
C A B D K O R,2023
C A B D E L O,2023
B E I K L M O,2023
B E G I L N T,2023
B D E N O T U,2023
B D E I M O V,2023
B D E G I L O,2023
B A I L N P T,2023
B A G I N R V,2023
B A E K M N T,2023
B A E I L N P,2023
B A D I M N R,2023
B A D H I L N,2023
B A D G I N O,2023
B A D E K M N,2023
B A D E G H I,2023
B A C M N O T,2023
B A C E I L M,2023
B A C D I L O,2023
B A C D E I T,2023
A M O R T W Y,2023
A I L O T V Y,2023
A H L M N O R,2023
A G L M O R U,2023
A G H L O T U,2023
A F L M O R U,2023
A E I L N V Y,2023
A E H M P T Y,2023
A E H I N P Y,2023
A E G L U V Y,2023
A D K O R W Y,2023
A D K L R W Y,2023
A D I N O T X,2023
A D I L N T Y,2023
A D I L N T U,2023
A D E H I N W,2023
A D E F H N O,2023
A C M N O R Y,2023
A C I M R T U,2023
A C H L N O Y,2023
A C G I L O Z,2023
A C G H I P R,2023
A C E G K M O,2023
A C D I J L U,2023
A C D H I N P,2023
A B I R T U Y,2023
A B E G O P Y,2023
A B C E F I T,2023
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
